ticker,company,fiscal_year,fiscal_period,period_end,form_type,filed_date,cash,financing_cash_flow,interest_expense,investing_cash_flow,long_term_debt,net_income,operating_cash_flow,operating_expenses,revenue,stockholders_equity,tax_expense,total_assets,total_liabilities,days_to_file,late_filing,revenue_yoy_pct,net_income_yoy_pct,operating_expenses_yoy_pct,total_assets_yoy_pct,profit_margin,debt_to_equity,cash_ratio,expense_ratio,expense_ratio_zscore,materiality_score,profit_margin_vs_peers
USB,US BANCORP DE,2016.0,Q2,2016-06-30,10-Q,2016-08-05,,,,,36941000000.0,,,,,47390000000.0,,438463000000.0,390434000000.0,36,0,-75.19,-6.92,,3.94,,0.7795,,,,0,
USB,US BANCORP DE,2017.0,Q2,2016-06-30,10-Q,2017-08-04,,,407000000.0,,,1522000000.0,,,5448000000.0,,542000000.0,,,400,1,-73.17,-74.11,,3.94,0.2794,,,,,20,0.0273
USB,US BANCORP DE,2016.0,Q3,2016-09-30,10-Q,2016-11-04,,,,,37978000000.0,,,,,47759000000.0,,454134000000.0,405735000000.0,35,0,-73.17,-74.11,,5.949999999999999,,0.7952,,,,0,
USB,US BANCORP DE,2017.0,Q3,2016-09-30,10-Q,2017-11-03,,,427000000.0,,,1502000000.0,,,5388000000.0,,566000000.0,,,399,1,6.97,8.37,,5.949999999999999,0.2788,,,,,20,0.0249
USB,US BANCORP DE,2017.0,FY,2016-12-31,10-K,2018-02-22,,,,,33323000000.0,,,,21308000000.0,47298000000.0,,445964000000.0,398031000000.0,418,1,323.03000000000003,8.37,,1.71,,0.7045,,,,20,
USB,US BANCORP DE,2018.0,FY,2016-12-31,10-K,2019-02-22,,17180000000.0,1468000000.0,-17958000000.0,,5888000000.0,5336000000.0,,,,2161000000.0,,,783,1,291.12,286.85999999999996,,1.71,,,,,,20,
USB,US BANCORP DE,2017.0,Q1,2017-03-31,10-Q,2017-05-05,,,,,35948000000.0,,,,,47798000000.0,,449522000000.0,401089000000.0,35,0,291.12,286.85999999999996,,-1.02,,0.7521,,,,0,
USB,US BANCORP DE,2018.0,Q1,2017-03-31,10-Q,2018-05-03,,,413000000.0,,,1473000000.0,,,5289000000.0,,499000000.0,,,398,1,-1.8399999999999999,-1.9300000000000002,,-1.02,0.2785,,,,,20,0.0253
USB,US BANCORP DE,2017.0,Q2,2017-06-30,10-Q,2017-08-04,,,,,37814000000.0,,,,,48320000000.0,,463844000000.0,414895000000.0,35,0,-75.18,-1.9300000000000002,,4.01,,0.7826,,,,0,
USB,US BANCORP DE,2018.0,Q2,2017-06-30,10-Q,2018-08-02,,,470000000.0,,,1500000000.0,,,5448000000.0,,551000000.0,,,398,1,-74.42999999999999,-74.52,,4.01,0.2753,,,,,20,0.0119
USB,US BANCORP DE,2017.0,Q3,2017-09-30,10-Q,2017-11-03,,,,,34515000000.0,,,,,48723000000.0,,459227000000.0,409876000000.0,34,0,-74.42999999999999,-74.52,,2.16,,0.7084,,,,0,
USB,US BANCORP DE,2018.0,Q3,2017-09-30,10-Q,2018-11-02,,,528000000.0,,,1563000000.0,,,5567000000.0,,589000000.0,,,398,1,5.26,6.11,,2.16,0.2808,,,,,20,0.0324
USB,US BANCORP DE,2018.0,FY,2017-12-31,10-K,2019-02-22,,,,,32259000000.0,,,,21902000000.0,49040000000.0,,462040000000.0,412374000000.0,418,1,314.1,6.11,,-0.38999999999999996,,0.6578,,,,20,
USB,US BANCORP DE,2019.0,FY,2017-12-31,10-K,2020-02-20,,9454000000.0,1966000000.0,-12126000000.0,,6218000000.0,6472000000.0,,,,1264000000.0,,,781,1,302.02,314.53000000000003,,-0.38999999999999996,,,,,,20,
USB,US BANCORP DE,2018.0,Q1,2018-03-31,10-Q,2018-05-03,,,,,33201000000.0,,,,,49187000000.0,,460119000000.0,410307000000.0,33,0,302.02,314.53000000000003,,0.19,,0.675,,,,0,
USB,US BANCORP DE,2019.0,Q1,2018-03-31,10-Q,2019-05-09,,-1775000000.0,623000000.0,82000000.0,,1675000000.0,1434000000.0,,5469000000.0,,362000000.0,,,404,1,-1.76,7.17,,0.19,0.3063,,,,,20,0.0064
USB,US BANCORP DE,2018.0,Q2,2018-06-30,10-Q,2018-08-02,,,,,37172000000.0,,,,,49628000000.0,,461329000000.0,411072000000.0,33,0,-75.03,7.17,,-0.15,,0.749,,,,0,
USB,US BANCORP DE,2019.0,Q2,2018-06-30,10-Q,2019-08-01,,,751000000.0,,,1750000000.0,,,5640000000.0,,441000000.0,,,397,1,-74.25,-71.86,,-0.15,0.3103,,,,,20,0.0094
USB,US BANCORP DE,2018.0,Q3,2018-09-30,10-Q,2018-11-02,,,,,40894000000.0,,,,,50375000000.0,,464607000000.0,413600000000.0,33,0,-74.25,-71.86,,0.98,,0.8118,,,,0,
